Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Style Lab: Makeover,DS,2009,Simulation,nan,tbd,E
The Urbz: Sims in the City,GC,2004,Simulation,73,8.4,T
Road Rash: Jailbreak,PS,1999,Racing,nan,,
Disney Sing It! High School Musical 3: Senior Year,PS3,2008,Misc,nan,,
Mother 3,GBA,2006,Role-Playing,nan,,
Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,53,tbd,E
Monster Trucks Mayhem,Wii,2009,Racing,nan,tbd,E
You Don't Know Jack,PS,1999,Misc,nan,,
Rapala Pro Bass Fishing 2010,X360,2010,Sports,nan,tbd,E
WWE SmackDown! vs. RAW 2006,PSP,2005,Fighting,81,8.5,T
Mafia II,PC,2010,Action,77,7.9,M
Avatar: The Game,DS,2009,Action,nan,,
Mystery Dungeon: Shiren the Wanderer,SNES,1995,Role-Playing,nan,,
Pro Evolution Soccer 2016,PS3,2015,Sports,nan,7.2,E
Star Wars: Clone Wars,GC,2002,Shooter,nan,,
NBA Live 2002,XB,2001,Sports,76,7.5,E
Sega Superstars Tennis,PS3,2008,Sports,67,7.4,E10+
Spore Hero,Wii,2009,Simulation,61,7.1,E10+
Winter Sports 2: The Next Challenge,Wii,2008,Sports,nan,tbd,E
Boku no Natsuyasumi,PS,2000,Adventure,nan,,
I-Ninja,PS2,2003,Platform,73,8.3,T
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007,Action,nan,,
Moshi Monsters: Moshlings Theme Park,DS,2012,Misc,nan,tbd,E
Ghostbusters: The Video Game,DS,2009,Action,55,6,E
Command & Conquer,PS,1996,Strategy,nan,,
Harvest Moon: Save the Homeland,PS2,nan,Simulation,76,8.8,E
SD Gundam G Generation Seed,PS2,2004,Strategy,nan,,
Call of Duty: Finest Hour,GC,2004,Shooter,74,8.9,T
Naruto: Path of the Ninja,DS,2007,Role-Playing,57,7.2,E10+
Tales of Phantasia,SNES,1995,Role-Playing,nan,,
Speed Racer: The Videogame,Wii,2008,Racing,nan,,
Castlevania: Portrait of Ruin,DS,2006,Platform,85,8.3,T
Suzuki TT Superbikes,PS2,2005,Racing,71,8.5,E
Rumble Roses,PS2,2004,Fighting,66,8.5,M
Disney Infinity 3.0,X360,2015,Action,nan,,
Tomb Raider: Anniversary,X360,2007,Action,77,8.3,T
Sherlock Holmes: The Mystery of the Mummy,DS,2009,Adventure,57,3.1,E
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,36,6.4,T
Ultimate Spider-Man,XB,2005,Action,77,7.4,T
Littlest Pet Shop,Wii,2008,Simulation,nan,tbd,E
Juiced 2: Hot Import Nights,PS2,2007,Racing,66,6.7,T
Star Wars The Clone Wars: Republic Heroes,DS,2009,Action,nan,5.3,E10+
NHL 99,N64,1998,Sports,nan,,
LEGO The Lord of the Rings,3DS,2012,Action,61,7.6,E10+
Danball Senki,PSP,2011,Role-Playing,nan,,
No More Heroes 2: Desperate Struggle,Wii,2010,Action,84,8.8,M
NASCAR Heat,PS,2000,Racing,62,tbd,E
Planet 51,DS,2009,Action,nan,tbd,E
Bloody Roar,PS,1997,Fighting,nan,,
Bump 'n' Jump,2600,1982,Racing,nan,,
Mobile Suit Gundam: Lost War Chronicles,PS2,2002,Shooter,nan,,
Legends of WrestleMania,X360,2009,Fighting,71,6.3,T
Fishing Resort,Wii,2011,Sports,69,7,E
Disney's Brother Bear,GBA,2003,Action,nan,tbd,E
Armored Core V,PS3,2012,Simulation,65,7.3,T
NBA Live 09,PS2,2008,Sports,nan,7.4,E
Saints Row IV,PS4,2015,Action,nan,,
Mass Effect 2,PC,2010,Role-Playing,94,8.8,M
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,38,2.8,T
The House of The Dead III,XB,2002,Shooter,72,7.3,M
Project X Zone,3DS,2012,Role-Playing,70,7.3,T
NBA Jam,PS3,2010,Sports,71,5.7,E
Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,nan,,
Dishonored,PS4,2015,Action,nan,,
Dark Souls III,XOne,2016,Role-Playing,87,8.6,
NBA Jam,X360,2010,Sports,75,7,E
Dancing with the Stars: We Dance!,DS,2008,Misc,nan,,
NBA Live 09,PSP,2008,Sports,nan,7.3,E
Ener-G: Gym Rockets,DS,2008,Sports,nan,tbd,E
Laser Blast,2600,1981,Action,nan,,
Madden NFL Football,3DS,2011,Sports,49,5.3,E
Thrasher Presents: Skate and Destroy,PS,1998,Sports,nan,,
Are You Smarter than a 5th Grader? Make the Grade,DS,2008,Misc,nan,tbd,E
Donkey Konga 2,GC,2004,Misc,69,6,T
SpongeBob's Truth or Square (US sales),PSP,2009,Action,nan,,
Tear Ring Saga Yutona Eiyuu Senki,PS,2001,Role-Playing,nan,,
Transformers: Fall of Cybertron,PS3,2012,Action,77,8.2,T
Alpha Protocol,X360,2010,Role-Playing,63,7.2,M
Metal Gear Solid HD Edition,PSV,2012,Action,nan,,
FIFA 12,3DS,2011,Sports,nan,,
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,nan,,
SSX 3,XB,2003,Sports,92,8.7,E
Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,44,5.3,E10+
Madden NFL 2005,GBA,2004,Sports,79,7.6,E
All-Star Baseball 2000,N64,1999,Sports,nan,,
Custom Robo V2,N64,2000,Fighting,nan,,
Extreme-G: XG2,N64,1998,Racing,nan,,
BattleTanx: Global Assault,N64,1999,Action,nan,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,66,7.6,T
SpongeBob's Truth or Square (US sales),Wii,2009,Action,nan,,
Until Dawn: Rush of Blood,PS4,2016,Adventure,72,8,M
Chibi-Robo! Plug into Adventure!,GC,2005,Adventure,nan,,
Sonic Lost World,WiiU,2013,Platform,63,7.3,E10+
Super Monkey Ball: Step & Roll,Wii,2010,Action,nan,,
Skylanders SWAP Force,PS4,2013,Platform,79,5.2,E10+
Iron Man 2,PS3,2010,Action,41,5.2,T
Jampack Winter 2003 (RP-T),PS2,2003,Misc,nan,,
Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,43,6.3,T
Monster Jam: Urban Assault,DS,2008,Racing,nan,tbd,E
Kengo: Master of Bushido,PS2,2000,Fighting,62,8.4,M
Blood Omen 2,PS2,2002,Action,67,8.8,M
Monopoly Streets,PS3,2010,Misc,64,6.1,E
Super Fire ProWrestling,SNES,1991,Fighting,nan,,
Cabela's Dangerous Hunts 2,PS2,2005,Sports,nan,5.6,T
Condemned 2: Bloodshot,PS3,2008,Action,82,8.1,M
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,nan,tbd,E
Chessmaster,PS2,2003,Misc,79,7.3,E
Fatal Fury,SNES,1992,Fighting,nan,,
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,Role-Playing,nan,,
The Darkness II,X360,2012,Shooter,80,7.5,M
Ice Age 2: The Meltdown,PS2,2006,Platform,68,8,E10+
The Sims 2,GBA,2005,Simulation,58,7.5,E10+
Hitman: Blood Money,X360,2006,Action,82,8.7,M
Super Famista 3,SNES,1994,Sports,nan,,
Advance Wars: Dual Strike,DS,2005,Strategy,90,9,E
Auto Modellista,PS2,2002,Racing,66,7.5,E
WipeOut 3 The Game,Wii,2012,Action,nan,,
MLB 15: The Show,PS3,2015,Sports,nan,8.2,E
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,84,7.2,T
Tiger Woods PGA Tour 08,PS2,2007,Sports,65,tbd,E
F1 2016 (Codemasters),PS4,2016,Racing,nan,,
Just Dance 2015,PS4,2014,Misc,72,5.8,E10+
Robert Ludlum's The Bourne Conspiracy,PS3,nan,Action,70,7.6,T
Samurai Warriors Chronicles,3DS,2011,Action,61,7.7,T
Karaoke Revolution Presents American Idol Encore,PS2,2008,Misc,76,tbd,E
Airlock,2600,1981,Action,nan,,
Tokimeki Memorial 2,PS,1999,Simulation,nan,,
Hooked! Again: Real Motion Fishing,Wii,2009,Sports,nan,,
SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,nan,tbd,E
One Piece: Unlimited World Red,3DS,2013,Action,75,7.6,T
EA Sports Active 2,X360,2010,Sports,68,5.4,E
MotoGP 08,PS3,2008,Racing,65,6,E
Red Faction: Armageddon,X360,2011,Shooter,71,7,M
Harry Potter: Quidditch World Cup,GBA,2003,Sports,53,8.3,E
Dungeon Siege III,PS3,2011,Role-Playing,71,6.3,T
Evil Dead: Fistfull of Boomstick,PS2,2003,Action,nan,,
Silent Hill: Homecoming,PS3,nan,Action,71,6.9,M
Triple Play 97,PS,1996,Sports,nan,,
Sonic & All-Stars Racing Transformed,PSV,2012,Racing,nan,,
Super Soccer,SNES,1991,Sports,nan,,
Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,82,8.7,M
Wario Land II (GBC),GB,1998,Platform,nan,,
San Francisco Rush: Extreme Racing,PS,1997,Racing,nan,,
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,nan,,
Farming Simulator 2013,X360,2013,Simulation,33,6.2,E
ESPN College Hoops 2K5,XB,2004,Sports,86,8.3,E
Looney Tunes: Acme Arsenal,PS2,2007,Action,38,3.9,E10+
SD Gundam G Generation Spirits,PS2,2007,Strategy,nan,,
Dance Party: Pop Hits,Wii,2009,Misc,nan,,
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,78,7.6,T
The Cat in the Hat,GBA,2005,Platform,nan,,
Diner Dash: Sizzle & Serve,DS,2007,Puzzle,nan,,
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,78,8.2,T
NFL GameDay 2002,PS2,2001,Sports,51,4.6,E
Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,72,8.4,T
Turok: Evolution,GC,2002,Shooter,70,7,M
NCAA Football 08,PS3,2007,Sports,77,7.9,E
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,nan,,
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,nan,,
Ice Age,GBA,2002,Action,47,tbd,E
Sega Superstars Tennis,PS2,2008,Sports,70,8.3,E10+
Headhunter,PS2,2002,Action,74,7.8,M
FIFA 14,Wii,2013,Sports,nan,4.3,E
Yoshi Touch & Go,DS,2005,Platform,nan,,
Viking: Battle for Asgard,PS3,2008,Action,65,7.4,M
Rock Band 4,PS4,2015,Misc,78,6.3,T
Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,nan,,
Junior Classic Games,DS,2009,Misc,nan,tbd,E
Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,54,5.7,T
ESPN Extreme Games,PS,1994,Sports,nan,,
Brunswick Pro Bowling,Wii,2007,Sports,52,5.4,E
Ninja: Shadow of Darkness,PS,1998,Action,nan,,
Wolfenstein: The New Order,X360,2014,Shooter,nan,7.4,M
SD Gundam G Generation-F,PS,2000,Strategy,nan,,
Bratz: Rock Angelz,PS2,2005,Misc,60,5.1,E
FlatOut,PS2,2004,Racing,70,8.5,T
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,nan,,
Battlefield 1,PC,2016,Shooter,88,7.6,M
SSX 3,GC,2003,Sports,92,8.7,E
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,78,7.8,M
Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,nan,,
NCAA Football 11,PS2,2010,Sports,nan,tbd,E
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,Action,nan,,
LocoRoco,PSP,2006,Platform,83,8.7,E
Risk: Global Domination,PS2,2003,Strategy,60,8.8,T
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,84,7.6,M
Mobile Suit Gundam version 2.0,PS,1996,Action,nan,,
FIFA 17,X360,2016,Sports,nan,1.7,E
Grandia Xtreme,PS2,2002,Role-Playing,68,6.5,T
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,57,tbd,E
Silent Scope,PS2,2000,Shooter,63,tbd,M
Final Fantasy Adventure,GB,1991,Role-Playing,nan,,
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,nan,tbd,E
The Incredible Hulk,PS2,2008,Action,50,6,T
Mercenaries 2: World in Flames,PS2,2008,Shooter,49,7.4,T
Saints Row: The Third,PC,2011,Action,84,8.1,M
Ghost Trick: Phantom Detective,DS,2010,Adventure,83,9,T
Tokimeki Memorial: Forever with You,SAT,1996,Simulation,nan,,
MediEvil II,PS,1999,Action,nan,,
Hunter: The Reckoning,XB,2002,Action,79,8.9,M
MX vs. ATV Untamed,PS2,2007,Racing,53,8.2,E
Rogue Trip: Vacation 2012,PS,1998,Racing,nan,,
Phantasy Star Ø,DS,2008,Role-Playing,nan,,
Dawn of Discovery,PC,2009,Simulation,82,8.8,T
Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,nan,,
Tales of Hearts,PSV,2013,Role-Playing,nan,,
Get Fit with Mel B,PS3,2010,Sports,73,5.8,E
Ice Age: Dawn of the Dinosaurs,DS,2009,Action,54,tbd,E
Pokemon Channel,GC,2003,Adventure,55,6,E
Taiko no Tatsujin Portable DX,PSP,2011,Misc,nan,,
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,nan,,
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,nan,tbd,EC
Iron Man 2,PSP,2010,Action,49,tbd,T
Moto Racer World Tour,PS,2000,Racing,nan,,
Virtua Tennis 2009,PS3,2009,Sports,70,6.3,E
The Dog Island,Wii,2007,Adventure,70,8.1,E
NCAA Final Four 2000,PS,1999,Sports,nan,,
Madagascar: Escape 2 Africa,PS2,2008,Action,56,5.8,E
Hangman,2600,nan,Puzzle,nan,,
Need for Speed: Nitro,DS,2009,Racing,70,6.3,E10+
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,61,6.6,T
Tiger Woods PGA Tour 08,PSP,2007,Sports,72,tbd,E
Cabela's Dangerous Hunts 2009,Wii,2008,Sports,nan,4.5,T
Petz Rescue: Wildlife Vet,DS,2008,Simulation,nan,tbd,E
Dancing with the Stars: We Dance!,Wii,2008,Misc,nan,,
Age of Empires III,PC,2005,Strategy,81,7.7,T
Madden NFL 11,PSP,2010,Sports,nan,tbd,E
Gravitar,2600,1982,Action,nan,,
EyeToy Play 2,PS2,2004,Misc,78,7,E10+
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,nan,,
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,75,8.6,E10+
LEGO Marvel Super Heroes,DS,2013,Action,nan,4.8,E10+
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,nan,7.8,T
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,73,6.7,E
Just Dance 2014,PS3,2013,Misc,77,7.1,E10+
Wii Sports Club,WiiU,2014,Sports,68,7,E10+
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,67,7.3,E
Paws & Claws: Pampered Pets,DS,2009,Simulation,nan,,
Puppy Palace,DS,2008,Simulation,nan,tbd,E
Peppa Pig: The Game,Wii,2009,Misc,nan,,
Skylanders Giants,WiiU,2012,Action,80,6.9,E10+
GRID 2,PS3,2013,Racing,82,6.6,E
Solaris,2600,1986,Shooter,nan,,
Resident Evil Zero,PS4,2016,Action,nan,,
Super Dragon Ball Z,PS2,2006,Fighting,72,5.8,T
Scooby-Doo! and the Spooky Swamp,DS,2010,Action,nan,,
Petz Rescue: Ocean Patrol,DS,2008,Adventure,nan,tbd,E
The Golden Compass,PSP,nan,Action,28,4.1,E10+
Tobal 2,PS,1997,Fighting,nan,,
Farming Simulator 2015,PS3,2015,Simulation,nan,,
NBA 2K10,Wii,2009,Sports,nan,8.6,E
Persona 5,PS4,2016,Role-Playing,nan,,
Disney Sing It,PS3,2008,Misc,54,3.5,E
Tiger Woods PGA Tour 09,PS2,2008,Sports,nan,4.3,E
Ultimate Spider-Man,GC,2005,Action,76,7.2,T
NBA Inside Drive 2002,XB,2002,Sports,76,tbd,E
Major League Baseball 2K6,X360,2006,Sports,66,3.9,E
Imagine: Party Babyz,Wii,2008,Simulation,nan,6.1,E
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,63,tbd,E10+
NBA 2K7,PS3,2006,Sports,80,7.4,E
Kileak: The DNA Imperative,PS,1994,Shooter,nan,,
Petz: Catz 2,PS2,2006,Simulation,nan,tbd,E
Just Dance 4,WiiU,2012,Misc,66,7.8,E10+
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,nan,,
"Monsters, Inc. Scream Arena",GC,2002,Platform,39,4.7,E
Reel Fishing III,PS2,2003,Sports,nan,7.8,E
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,nan,8.7,T
Monster Jam: Path of Destruction,DS,2010,Racing,nan,tbd,E
Need for Speed: Hot Pursuit,PC,2010,Racing,86,6.7,E10+
Rampage: Total Destruction,PS2,2006,Action,51,7,E10+
High Heat Major League Baseball 2003,PS2,2002,Sports,84,7.9,E
Trivial Pursuit,X360,2009,Misc,66,6.4,E
Super Formation Soccer 94,SNES,1994,Sports,nan,,
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,55,5.9,M
Panzer Dragoon,SAT,1995,Shooter,nan,,
Spider-Man: Friend or Foe,PS2,2007,Action,62,8.3,E10+
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,nan,,
Rec Room Games,Wii,2009,Sports,nan,tbd,E
EA Sports MMA,PS3,2010,Fighting,77,6.9,T
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,70,6.3,E10+
Quake 4,X360,2005,Shooter,75,6.7,M
Tiger Woods PGA Tour 14,PS3,2013,Sports,74,3.8,E
Skate,PS3,2007,Sports,85,8.2,T
Cabela's Big Game Hunter 2012,Wii,2011,Sports,nan,tbd,T
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,nan,,
Turok: Rage Wars,N64,1999,Shooter,nan,,
Scooby-Doo! Classic Creep Capers,N64,2000,Action,nan,,
Rage,PC,2011,Shooter,79,5.2,M
Dragonfire,2600,1981,Action,nan,,
Custom Robo,GC,2004,Role-Playing,65,8.1,T
Prince of Persia: The Forgotten Sands,PSP,2010,Action,65,7.4,T
BioShock The Collection,PS4,2016,Shooter,84,8.5,M
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,83,8.2,T
DiRT 2,Wii,2009,Racing,51,5.5,E10+
Pac-Man World 2,GC,2002,Action,74,8.3,E
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,nan,,
Tomb Raider: Legend,X360,2006,Action,80,7.3,T
Rocket League,PS4,2016,Sports,85,8.7,E
The BIGS,Wii,2007,Sports,66,7.1,E
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,nan,,
Destiny: The Taken King,PS3,2015,Shooter,nan,5.5,T
Skylanders: SuperChargers,PS3,2015,Action,nan,4.2,E10+
The Legend of Spyro: A New Beginning,DS,2006,Platform,68,6.8,E
Imagine: Salon Stylist,DS,2009,Simulation,nan,tbd,E
Juiced 2: Hot Import Nights,PSP,2007,Racing,73,7.8,T
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,nan,,
Dungeon Siege III,X360,2011,Role-Playing,72,5.9,T
Hell's Kitchen: The Game,DS,2008,Simulation,nan,,
DiRT Rally,PS4,2016,Racing,85,8.1,E
NFL Street 2 Unleashed,PSP,2005,Sports,73,7.4,E
Super Robot Taisen EX,SNES,1994,Strategy,nan,,
FIFA Street 2,PS2,2006,Sports,59,7.7,E
Virtua Tennis 2009,Wii,2009,Sports,73,7.7,E
Overlord: Dark Legend,Wii,2009,Action,68,7.9,T
Bottom of the 9th,N64,1999,Sports,nan,,
The Legend of Spyro: The Eternal Night,DS,2007,Platform,56,2.7,E
Shin Megami Tensei II,SNES,1994,Role-Playing,nan,,
Harry Potter and the Order of the Phoenix,PSP,2007,Action,52,7.6,E10+
Wanted: Weapons of Fate,X360,2009,Shooter,62,7.5,M
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,81,9,T
Skylanders: Trap Team,XOne,2014,Action,nan,,
Rune Factory: Frontier,Wii,2008,Role-Playing,79,8.5,E10+
Virtua Fighter 3tb,DC,1998,Fighting,nan,,
Medieval II: Total War Gold Edition,PC,2008,Strategy,nan,8,T
Mini Ninjas,Wii,2009,Action,79,8.3,E10+
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,55,5.7,T
Mini-Yonku GB: Let's & Go!!,GB,1997,Strategy,nan,,
Scribblenauts: Unlimited,WiiU,2012,Action,73,7.4,E10+
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,nan,,
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,81,7.5,T
The Sims 2: Castaway,PS2,2007,Simulation,71,8,T
NCAA Football 07,PSP,2006,Sports,75,7.9,E
Batman: Arkham City,WiiU,2012,Action,nan,,
NBA Live 2003,XB,nan,Sports,82,8.8,E
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,67,8.3,T
GoldenEye: Rogue Agent,GC,2004,Shooter,60,6.7,T
Need for Speed: The Run,PC,2011,Action,69,5.8,T
Zero4 Champ RR,SNES,1994,Sports,nan,,
Dragon Ball Z: Infinite World,PS2,2008,Fighting,48,7.9,T
Elite Beat Agents,DS,2006,Misc,87,8.6,E10+
Nonomura Byoin no Hitobito,SAT,1996,Adventure,nan,,
ESPN X Games Skateboarding,PS2,2001,Sports,58,7.8,E
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,81,5.5,E10+
NHL 15,PS3,2014,Sports,nan,1.6,E10+
Castlevania: Order of Ecclesia,DS,2008,Platform,85,8.7,T
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,nan,tbd,E
Dreamworks Madagascar Kartz,DS,2009,Racing,nan,tbd,E
Left 4 Dead 2,PC,2009,Shooter,89,8.5,M
Green Day: Rock Band,Wii,2010,Misc,76,8.8,T
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,nan,,
Super Fire ProWrestling Special,SNES,1994,Fighting,nan,,
Star Fox: Zero,WiiU,2016,Shooter,69,7.4,E10+
SAW,PS3,2009,Action,59,6.4,M
Yuu Yuu Hakusho,SNES,1993,Fighting,nan,,
Tom Clancy's HAWX 2,X360,2010,Action,68,6.3,T
Kamaitachi no Yoru 2,PS2,2002,Adventure,nan,,
High Heat Major League Baseball 2004,PS2,2003,Sports,83,8.1,E
Robots,PS2,2005,Action,53,6,E
NARC,PS2,2005,Shooter,50,7,M
One Piece: Gigant Battle!,DS,2010,Fighting,nan,,
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,73,7.9,E10+
My Horse & Me,DS,2007,Sports,nan,,
Bionic Commando,PS3,2009,Platform,71,7.4,M
Monster Rancher 3,PS2,2001,Simulation,77,8.5,E
The Incredibles: Rise of the Underminer,PS2,2005,Action,60,7.1,E10+
Sword Art Online: Lost Song,PSV,2015,Role-Playing,70,7.1,T
MechWarrior 2: 31st Century Combat,PS,1997,Simulation,nan,,
Zoo Tycoon (2013),XOne,2013,Simulation,nan,,
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,72,9.3,E
Okage: Shadow King,PS2,2001,Role-Playing,70,8.5,T
Mobile Suit Z-Gundam,PS,1997,Action,nan,,
Cubix Robots for Everyone: Clash 'n' Bash,GBA,nan,Action,nan,,
BlazBlue: Calamity Trigger,X360,2009,Fighting,86,8.5,T
Kirby's Dream Land 3,SNES,1997,Platform,nan,,
Big Bass World Championship,PS,1997,Sports,nan,,
NFL GameDay 2001,PS2,2000,Sports,51,tbd,E
NBA 2K6,XB,2005,Action,84,8.7,E
Saban's Power Rangers: Lightspeed Rescue,N64,2000,Action,nan,,
Tetrisphere,N64,1997,Puzzle,nan,,
Jurassic Park,NES,1993,Action,nan,,
Mystical Ninja starring Goemon,N64,1997,Action,nan,,
Marvel Super Hero Squad,Wii,2009,Fighting,49,6.2,E10+
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,63,7.1,T
World's Scariest Police Chases,PS,2001,Racing,54,6.3,T
Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,58,tbd,E
North American Hunting Extravaganza,Wii,2008,Sports,nan,tbd,T
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,nan,tbd,E
MechAssault 2: Lone Wolf,XB,2004,Simulation,81,7.5,T
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,80,8.4,T
Hamster Club 3,GBA,2002,Simulation,nan,,
Breath of Fire II,SNES,1994,Role-Playing,nan,,
LEGO Racers,PS,1999,Racing,nan,,
Just Dance 2016,PS4,2015,Misc,73,6.8,E10+
ESPN NFL Football,XB,2003,Sports,91,8.9,E
Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,nan,,
Rapala Pro Fishing,PS2,2004,Sports,59,8.7,E
ATV/Monster Truck Mayhem,DS,2007,Racing,nan,,
J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,nan,,
Spider-Man: Shattered Dimensions,X360,2010,Action,76,7.6,T
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,nan,,
TMNT,Wii,2007,Action,60,5.9,E10+
Fossil Fighters: Frontier,3DS,2014,Role-Playing,57,4.8,E10+
Disney's The Haunted Mansion,PS2,2003,Platform,nan,,
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,72,8.2,T
Dance Dance Revolution 3rdMix,PS,2000,Simulation,nan,,
Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,nan,,
Super Robot Taisen A,GBA,2001,Strategy,nan,,
Watch Dogs 2,XOne,2016,Action,83,7.7,M
Tiger Woods PGA Tour 09,PSP,2008,Sports,53,5.5,E
Boxer's Road,PS,1995,Fighting,nan,,
Frogs And Flies,2600,1981,Action,nan,,
Harry Potter and the Chamber of Secrets,XB,2002,Action,77,7.2,E
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,nan,,
South Park Rally,PS,1998,Racing,nan,,
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,nan,,
Arctic Thunder,PS2,2001,Racing,45,5.3,T
NHL 2K10,PS2,2009,Sports,nan,8.5,E10+
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,nan,,
ESPN: Sports Connection,WiiU,2012,Sports,31,2.7,E
Digging for Dinosaurs,DS,2010,Action,nan,tbd,E
Formula 1 Championship Edition,PS,1997,Racing,nan,,
Shrek,XB,2001,Platform,49,5.4,T
Dragon's Crown,PSV,2013,Role-Playing,78,8.4,T
Thief (2014),PS3,2014,Action,nan,,
Blasto,PS,1998,Action,nan,,
Wipeout 2048,PSV,2012,Racing,79,8.2,E10+
Wonder Pets! Save the Animals!,DS,2008,Adventure,nan,,
Backyard Baseball 2006,GBA,2005,Sports,nan,,
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,nan,8.9,T
Trauma Center: Under the Knife,DS,2005,Simulation,81,8.7,T
Press Your Luck 2010 Edition,Wii,2009,Misc,nan,tbd,E
Nicktoons: Unite!,GC,2005,Adventure,nan,,
Farming Simulator 2015,PS4,2015,Simulation,nan,,
Earth Defense Force 2025,PS3,2013,Shooter,69,7.5,M
Middle-Earth: Shadow of Mordor,PC,2014,Action,84,8,M
Suikoden V,PS2,2006,Role-Playing,76,7.6,T
Picross 2,GB,1996,Puzzle,nan,,
SOCOM: Tactical Strike,PSP,2007,Shooter,nan,,
Farming Simulator 2015,X360,2015,Simulation,nan,,
Tiger Woods PGA Tour 14,X360,2013,Sports,77,6.2,E
